Time,Temperature
8/29/2007 9:00,23.75555556
8/29/2007 9:01,23.76111111
8/29/2007 9:02,23.78333333
8/29/2007 9:03,23.82777778
8/29/2007 9:04,23.82222222
8/29/2007 9:05,23.79444444
8/29/2007 9:06,23.78888889
8/29/2007 9:07,23.82777778
8/29/2007 9:08,23.77777778
8/29/2007 9:09,23.77777778
8/29/2007 9:10,23.77222222
8/29/2007 9:11,23.81111111
8/29/2007 9:12,23.83888889
8/29/2007 9:13,23.85555556
8/29/2007 9:14,23.87777778
8/29/2007 9:15,23.88333333
8/29/2007 9:16,23.87777778
8/29/2007 9:17,23.92222222
8/29/2007 9:18,23.96666667
8/29/2007 9:19,23.98888889
8/29/2007 9:20,24.00555556
8/29/2007 9:21,24.04444444
8/29/2007 9:22,24.07777778
8/29/2007 9:23,24.06111111
8/29/2007 9:24,24.10555556
8/29/2007 9:25,24.1
8/29/2007 9:26,24.10555556
8/29/2007 9:27,24.01666667
8/29/2007 9:28,24.05
8/29/2007 9:29,24.09444444
8/29/2007 9:30,24.17222222
8/29/2007 9:31,24.23333333
8/29/2007 9:32,24.28888889
8/29/2007 9:33,24.24444444
8/29/2007 9:34,24.24444444
8/29/2007 9:35,24.32777778
8/29/2007 9:36,24.46666667
8/29/2007 9:37,24.53333333
8/29/2007 9:38,24.56666667
8/29/2007 9:39,24.62777778
8/29/2007 9:40,24.56111111
8/29/2007 9:41,24.59444444
8/29/2007 9:42,24.63333333
8/29/2007 9:43,24.77777778
8/29/2007 9:44,24.75
8/29/2007 9:45,24.88333333
8/29/2007 9:46,24.83333333
8/29/2007 9:47,24.82222222
8/29/2007 9:48,24.77777778
8/29/2007 9:49,24.75
8/29/2007 9:50,24.78333333
8/29/2007 9:51,24.82777778
8/29/2007 9:52,24.83333333
8/29/2007 9:53,24.78888889
8/29/2007 9:54,24.75555556
8/29/2007 9:55,24.7
8/29/2007 9:56,24.65555556
8/29/2007 9:57,24.65
8/29/2007 9:58,24.67777778
8/29/2007 9:59,24.66111111
8/29/2007 10:00,24.72222222
8/29/2007 10:01,24.69444444
8/29/2007 10:02,24.7
8/29/2007 10:03,24.71111111
8/29/2007 10:04,24.61666667
8/29/2007 10:05,24.52777778
8/29/2007 10:06,24.53888889
8/29/2007 10:07,24.52222222
8/29/2007 10:08,24.51111111
8/29/2007 10:09,24.51111111
8/29/2007 10:10,24.48333333
8/29/2007 10:11,24.47777778
8/29/2007 10:12,24.50555556
8/29/2007 10:13,24.51666667
8/29/2007 10:14,24.53888889
8/29/2007 10:15,24.47222222
8/29/2007 10:16,24.45555556
8/29/2007 10:17,24.52222222
8/29/2007 10:18,24.58888889
8/29/2007 10:19,24.67222222
8/29/2007 10:20,24.71111111
8/29/2007 10:21,24.66666667
8/29/2007 10:22,24.66666667
8/29/2007 10:23,24.68888889
8/29/2007 10:24,24.7
8/29/2007 10:25,24.68888889
8/29/2007 10:26,24.70555556
8/29/2007 10:27,24.73888889
8/29/2007 10:28,24.75
8/29/2007 10:29,24.81111111
8/29/2007 10:30,24.81111111
8/29/2007 10:31,24.81666667
8/29/2007 10:32,24.82222222
8/29/2007 10:33,24.82777778
8/29/2007 10:34,24.82777778
8/29/2007 10:35,24.9
8/29/2007 10:36,24.98888889
8/29/2007 10:37,25.08888889
8/29/2007 10:38,25.15555556
8/29/2007 10:39,25.2
8/29/2007 10:40,25.3
8/29/2007 10:41,25.28333333
8/29/2007 10:42,25.32222222
8/29/2007 10:43,25.40555556
8/29/2007 10:44,25.39444444
8/29/2007 10:45,25.38888889
8/29/2007 10:46,25.47222222
8/29/2007 10:47,25.45555556
8/29/2007 10:48,25.42222222
8/29/2007 10:49,25.38333333
8/29/2007 10:50,25.39444444
8/29/2007 10:51,25.44444444
8/29/2007 10:52,25.46666667
8/29/2007 10:53,25.52222222
8/29/2007 10:54,25.58333333
8/29/2007 10:55,25.63888889
8/29/2007 10:56,25.75555556
8/29/2007 10:57,25.80555556
8/29/2007 10:58,25.68333333
8/29/2007 10:59,25.55
8/29/2007 11:00,25.56666667
8/29/2007 11:01,25.54444444
8/29/2007 11:02,25.53888889
8/29/2007 11:03,25.5
8/29/2007 11:04,25.43333333
8/29/2007 11:05,25.48333333
8/29/2007 11:06,25.40555556
8/29/2007 11:07,25.28333333
8/29/2007 11:08,25.25
8/29/2007 11:09,25.27222222
8/29/2007 11:10,25.37777778
8/29/2007 11:11,25.39444444
8/29/2007 11:12,25.40555556
8/29/2007 11:13,25.47222222
8/29/2007 11:14,25.48888889
8/29/2007 11:15,25.51111111
8/29/2007 11:16,25.48333333
8/29/2007 11:17,25.51666667
8/29/2007 11:18,25.54444444
8/29/2007 11:19,25.61111111
8/29/2007 11:20,25.65
8/29/2007 11:21,25.67777778
8/29/2007 11:22,25.68333333
8/29/2007 11:23,25.62222222
8/29/2007 11:24,25.67222222
8/29/2007 11:25,25.7
8/29/2007 11:26,25.63333333
8/29/2007 11:27,25.57222222
8/29/2007 11:28,25.56111111
8/29/2007 11:29,25.57222222
8/29/2007 11:30,25.51666667
8/29/2007 11:31,25.55
8/29/2007 11:32,25.62222222
8/29/2007 11:33,25.69444444
8/29/2007 11:34,25.74444444
8/29/2007 11:35,25.81111111
8/29/2007 11:36,25.83888889
8/29/2007 11:37,25.88333333
8/29/2007 11:38,25.93333333
