month,day_of_month,hour,outdoor_temperature,outdoor_humidity,wind_speed,wind_direction,diffuse_solar_radiation,direct_solar_radiation,htg_setpoint,clg_setpoint,air_temperature,air_humidity,people_occupant,co2_emission,HVAC_electricity_demand_rate,total_electricity_HVAC
6.0,3.0,0.0,28.666666,22.833334,0.675,220.0,0.0,0.0,12.8,40.0,23.051163,20.189186,0.0,0.0,795.0179,238505.36
6.0,3.0,0.0,28.33333396911621,22.66666603088379,0.8500000238418579,210.0,0.0,0.0,15.00374984741211,25.001625061035156,23.017024993896484,20.07551383972168,0.0,0.0,789.34716796875,236804.140625
6.0,3.0,0.0,28.0,22.5,1.024999976158142,200.0,0.0,0.0,15.00374984741211,25.001625061035156,22.983312606811523,19.96308708190918,0.0,0.0,783.7068481445312,235112.0625
6.0,3.0,0.0,27.66666603088379,22.33333396911621,1.2000000476837158,190.0,0.0,0.0,15.00374984741211,25.001625061035156,22.949979782104492,19.851951599121094,0.0,0.0,778.0906372070312,233427.1875
6.0,3.0,0.0,27.33333396911621,22.16666603088379,1.375,180.0,0.0,0.0,15.00374984741211,25.001625061035156,22.916975021362305,19.74216079711914,0.0,0.0,772.497314453125,231749.203125
6.0,3.0,0.0,27.0,22.0,1.5499999523162842,170.0,0.0,0.0,15.00374984741211,25.001625061035156,22.884248733520508,19.633769989013672,0.0,0.0,766.92919921875,230078.75
6.0,3.0,0.0,26.66666603088379,21.83333396911621,1.725000023841858,160.0,0.0,0.0,15.00374984741211,25.001625061035156,22.851747512817383,19.526824951171875,0.0,0.0,761.3884887695312,228416.546875
6.0,3.0,0.0,26.33333396911621,21.66666603088379,1.899999976158142,150.0,0.0,0.0,15.00374984741211,25.001625061035156,22.81942367553711,19.421363830566406,0.0,0.0,755.8749389648438,226762.484375
6.0,3.0,0.0,26.0,21.5,2.075000047683716,140.0,0.0,0.0,15.00374984741211,25.001625061035156,22.78723907470703,19.317420959472656,0.0,0.0,750.3870849609375,225116.125
6.0,3.0,0.0,25.66666603088379,21.33333396911621,2.25,130.0,0.0,0.0,15.00374984741211,25.001625061035156,22.75515365600586,19.21501922607422,0.0,0.0,744.9214477539062,223476.421875
6.0,3.0,0.0,25.33333396911621,21.16666603088379,2.424999952316284,120.0,0.0,0.0,15.00374984741211,25.001625061035156,22.723134994506836,19.114179611206055,0.0,0.0,739.4736938476562,221842.109375
6.0,3.0,0.0,25.0,21.0,2.5999999046325684,110.0,0.0,0.0,15.00374984741211,25.001625061035156,22.69115447998047,19.01491928100586,0.0,0.0,734.039306640625,220211.796875
6.0,3.0,1.0,24.91666603088379,21.33333396911621,2.558333396911621,110.0,0.0,0.0,15.00374984741211,25.001625061035156,22.65918731689453,18.919050216674805,0.0,0.0,728.7733154296875,218632.0
6.0,3.0,1.0,24.83333396911621,21.66666603088379,2.5166666507720947,110.0,0.0,0.0,15.00374984741211,25.001625061035156,22.627220153808594,18.82491111755371,0.0,0.0,723.4877319335938,217046.328125
